"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"tutorial_introduction1","Survive by any means necessary.","Survive by any means necessary.","Přežij všemi dostupnými prostředky.","Überlebe um jeden Preis.","Вам нужно выжить любой ценой.","Przetrwaj za wszelką cenę.","Survive by any means necessary.","Sopravvivi a tutti i costi.","Haz lo que sea necesario para sobrevivir.","Survivez, à tout prix.","不計一切手段求生。","どんな手段を使ってでも生き残れ。","Sobreviva custe o que custar.","想尽一切办法生存下去。",
"tutorial_introduction2","Talk to people, but trust no one.","Talk to people, but trust no one.","S lidmi mluv, ale nevěř nikomu.","Sprich mit jedem, aber traue niemandem.","Говорите с другими игроками, но никому не доверяйте.","Rozmawiaj z ludźmi, ale nikomu nie ufaj.","Talk to people, but trust no one.","Relazionati con gli altri, ma non fidarti di nessuno.","Habla con la gente, pero no confíes en nadie.","Parlez, mais ne faites confiance à personne.","多和人交談，但別相信任何人。","様々な人と話し、誰も信用するな。","Fale com as pessoas, mas não confie em ninguém.","与人交谈，但不要相信任何人。",
"tutorial_introduction3","If you die, you lose everything.","If you die, you lose everything.","Jestli zemřeš, přijdeš o všechno.","Wenn du stirbst, verlierst du alles.","Если вы умрете, то потеряете все.","Ginąc, tracisz wszystko.","If you die, you lose everything.","Se muori, perderai tutto.","Si mueres, lo perderás todo.","Si vous mourez, vous perdez tout.","要是死了，就會失去一切。","死んだら、全てを失う。","Se morrer, você perde tudo.","如果你死了，将失去一切。",
"tutorial_status_health","Health indicator","Health indicator","Ukazatel zdraví","Lebensanzeige","Индикатор здоровья","Wskaźnik zdrowia","Health indicator","Indicatore salute","Indicador de salud","Indicateur de santé","生命量表","体力インジケータ","Indicador de vida","健康指示器",
"tutorial_guns1","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Ke zbraním najdeš různé doplňky, jako například optiky, tlumiče, různé druhy zásobníků...","Für Schusswaffen gibt es eine Reihe von Zubehör (Zielfernrohre, Schalldämpfer, unterschiedliche Arten von Magazinen etc.)","У огнестрельного оружия может быть множество приспособлений, таких как прицелы, глушители и различные виды магазинов...","Broń palną można ulepszać o akcesoria, takie jak lunety, tłumiki dźwięku oraz różnego rodzaju magazynki...","Firearms have a variety of attachments like scopes, silencers, different types of magazines...","Le armi da fuoco sono caratterizzate da una varietà di accessori come mirini, silenziatori, diversi tipi di caricatori...","Las armas de fuego tienen diversos accesorios, tales como miras, silenciadores, distintos tipos de cargador...","Les armes à feu peuvent accueillir des accessoires, tels que des silencieux, différents types de chargeurs, etc.","武器具有多種配件，如：望遠鏡、消音器、各式彈匣……","火器にはスコープ、サイレンサー、多種のマガジンなど、様々なアタッチメントがある...","As armas de fogo têm uma variedade de acessórios como miras, silenciadores, diferentes tipos de carregadores...","枪支包含各种附件，如瞄准镜、消音器、不同类型的弹匣...",
"tutorial_status_sickness","Sickness indicator","Sickness indicator","Ukazatel nemoci","Krankheitsanzeige","Индикатор болезни","Wskaźnik choroby","Sickness indicator","Indicatore malattia","Indicador de enfermedad","Indicateur de maladie","疾病量表","病気インジケータ","Indicador de doença","疾病指示器",
"tutorial_status_temparature","Thermal comfort indicator","Thermal comfort indicator","Ukazatel tepla","Temperaturanzeige","Индикатор теплового комфорта","Wskaźnik komfortu term.","Thermal comfort indicator","Indicatore comfort termico","Indicador de confort térmico","Indicateur de confort thermique","溫度量表","熱的快適性インジケータ","Indicador de conforto térmico","热舒适指示器",
"tutorial_status_blood","Blood level indicator","Blood level indicator","Ukazatel hladiny krve","Blutanzeige","Индикатор уровня крови","Wskaźnik poziomu krwi","Blood level indicator","Indicatore livello ematico","Indicador de nivel de sangre","Indicateur de volume sanguin","失血量表","血量インジケータ","Indicador de nível de sangue","血量指示器",
"tutorial_guns2","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Střeliva je v DayZ poskrovnu, takže se počítá každá rána.","Munition ist rar in DayZ, also ziele sorgfältig.","В DayZ каждый патрон на вес золота.","W DayZ nie ma zbyt dużo amunicji, rozważ każdy strzał.","Ammo is very scarce in DayZ, make every shot count.","Le munizioni sono molto limitate in DayZ, pertanto sfrutta al meglio ogni colpo.","La munición es muy escasa en DayZ, así que cada tiro es importante.","Dans DayZ, les munitions sont très rares. Ne tirez que si vous êtes sûr de vous.","《DayZ》中，彈藥數量非常稀少，別讓子彈白費。","DayZ では弾薬は貴重なため、慎重に射撃する必要がある。","Munição é algo bem escasso em DayZ, faça cada tiro valer a pena.","在 DayZ 中，弹药非常短缺，务必弹无虚发。",
"tutorial_guns3","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RS"" />. To switch to scope press <image set=""xbox_buttons"" name=""DPAD_right"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RS"" />. To switch to scope press <image set=""xbox_buttons"" name=""DPAD_right"" />.","Zbraní vystřel podržením <image set=""xbox_buttons"" name=""LT"" /> a stisknutím <image set=""xbox_buttons"" name=""RT"" />. Přes mířidla zamíříš stisknutím <image set=""xbox_buttons"" name=""RS"" />. Na optiku přepneš stisknutím <image set=""xbox_buttons"" name=""DPAD_right"" />.","Um eine Schusswaffe abzufeuern, halte <image set=""xbox_buttons"" name=""LT"" /> gedrückt und drücke <image set=""xbox_buttons"" name=""RT"" />. Um über Kimme und Korn zu zielen, drücke <image set=""xbox_buttons"" name=""RS"" />. Um zum Zielfernrohr zu wechseln, drücke <image set=""xbox_buttons"" name=""DPAD_right"" />.","Чтобы выстрелить, удерживайте <image set=""xbox_buttons"" name=""LT"" /> и нажмите <image set=""xbox_buttons"" name=""RT"" />. Чтобы прицелиться, нажмите <image set=""xbox_buttons"" name=""RS"" />. Чтобы переключиться на снайперский прицел, нажмите <image set=""xbox_buttons"" name=""DPAD_right"" />.","Aby strzelić, przytrzymaj <image set=""xbox_buttons"" name=""LT"" /> i naciśnij <image set=""xbox_buttons"" name=""RT"" />. Aby użyć celownika mechanicznego, wciśnij <image set=""xbox_buttons"" name=""RS"" />. Aby przełączyć na lunetę, wciśnij <image set=""xbox_buttons"" name=""DPAD_right"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RS"" />. To switch to scope press <image set=""xbox_buttons"" name=""DPAD_right"" />.","Per sparare tieni premuto <image set=""xbox_buttons"" name=""LT"" /> e premi <image set=""xbox_buttons"" name=""RT"" />. Per usare il collimatore premi <image set=""xbox_buttons"" name=""RS"" />. Per passare al mirino premi <image set=""xbox_buttons"" name=""DPAD_right"" />.","Para disparar un arma, mantén <image set=""xbox_buttons"" name=""LT"" /> y luego pulsa <image set=""xbox_buttons"" name=""RT"" />. Para usar la mira de hierro, pulsa <image set=""xbox_buttons"" name=""RS"" />. Para cambiar a la mira, pulsa <image set=""xbox_buttons"" name=""DPAD_right"" />.","Pour tirer, maintenez <image set=""xbox_buttons"" name=""LT"" /> et appuyez sur <image set=""xbox_buttons"" name=""RT"" />. Pour viser avec la mire, appuyez sur <image set=""xbox_buttons"" name=""RS"" />. Pour utiliser la lunette, appuyez sur <image set=""xbox_buttons"" name=""DPAD_right"" />.","按住 <image set=""xbox_buttons"" name=""LT"" /> 並按 <image set=""xbox_buttons"" name=""RT"" />　來開槍。按 <image set=""xbox_buttons"" name=""RS"" />　進入瞄具模式。按 <image set=""xbox_buttons"" name=""DPAD_right"" />　切回望遠鏡模式。","銃を撃つには <image set=""xbox_buttons"" name=""LT"" /> を長押ししながら <image set=""xbox_buttons"" name=""RT"" /> を押す。アイアンサイトを使うには <image set=""xbox_buttons"" name=""RS"" /> を押す。スコープに切り替えるには <image set=""xbox_buttons"" name=""DPAD_right"" /> を押す。","Para disparar uma arma, segure <image set=""xbox_buttons"" name=""LT"" /> e pressione <image set=""xbox_buttons"" name=""RT"" />. Para usar miras de ferro, pressione <image set=""xbox_buttons"" name=""RS"" />. Para alterar para a mira telescópica, pressione <image set=""xbox_buttons"" name=""DPAD_right"" />.","要开枪，请按住 <image set=""xbox_buttons"" name=""LT"" /> 并按下 <image set=""xbox_buttons"" name=""RT"" />。要使用机械瞄具，请按下 <image set=""xbox_buttons"" name=""RS"" />。要切换至瞄准镜，请按下 <image set=""xbox_buttons"" name=""DPAD_right"" />。",
